127.0.0.1 - - [24/Nov/2019:15:37:26 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:30 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:30 +0900] "GET /Lecture_Evaluation/userLogin.jsp HTTP/1.1" 200 2495
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:30 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:30 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:30 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 200 88148
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:30 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:30 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:47 +0900] "POST /Lecture_Evaluation/userLoginAction.jsp HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:49 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 7286
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:37:49 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:48:50 +0900] "GET /Lecture_Evaluation/index.jsp HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:48:50 +0900] "GET /Lecture_Evaluation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:48:50 +0900] "GET /Lecture_Evaluation/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:48:50 +0900] "GET /Lecture_Evaluation/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:48:50 +0900] "GET /Lecture_Evaluation/js/pooper.js HTTP/1.1" 404 1154
0:0:0:0:0:0:0:1 - - [24/Nov/2019:15:48:50 +0900] "GET /Lecture_Evaluation/js/bootstrap.min.js HTTP/1.1" 304 -
